# cycle och pass data
59 0 0 28991029248
60 1 0 3301638144
61 2 0 4089348096
62 3 0 3633774592
63 4 0 620232704
64 5 0 -3358687232
65 6 0 -2333802496
66 7 0 -10047881216
67 8 0 1307377664
68 9 0 760152064
69 10 0 2087223296
70 11 0 -4349558784
71 12 0 -1685848064
72 13 0 1794048000
73 14 0 -3206643712
74 15 0 -125665280
79 0 0 18150522880
80 1 0 3925213645
81 2 0 5511413850
82 3 0 1791444327
83 4 0 -1055125131
84 5 0 -2536974999
85 6 0 2933434625
86 7 0 -6869760177
87 8 0 -854823764
88 9 0 -968135835
89 10 0 280119298
90 11 0 -1624691383
91 12 0 -4610597365
92 13 0 -2134841483
93 14 0 -2945306961
94 15 0 -2137163369
99 0 0 10941333504
100 1 0 5011114534
101 2 0 2722031034
102 3 0 1755029462
103 4 0 653366625
104 5 0 -129564301
105 6 0 -1280347121
106 7 0 -5394631495
107 8 0 986430914
108 9 0 14035640
109 10 0 -625259898
110 11 0 -3665422953
111 12 0 -1580986100
112 13 0 2593053352
113 14 0 -569896815
114 15 0 355718475
119 0 0 1717665792
120 1 0 1981433299
121 2 0 2542048158
122 3 0 -3635795180
123 4 0 -1692583040
124 5 0 655973041
125 6 0 186539129
126 7 0 -2140181083
127 8 0 1757668890
128 9 0 -973578991
129 10 0 -2463845052
130 11 0 -402534968
131 12 0 -1108611466
132 13 0 -836691506
133 14 0 -103310450
134 15 0 459062847
139 0 0 7226228736
140 1 0 1774646805
141 2 0 1361552303
142 3 0 1813621158
143 4 0 -461868264
144 5 0 266877075
145 6 0 -4306797067
146 7 0 -4820276146
147 8 0 -227890309
148 9 0 1253408853
149 10 0 253169460
150 11 0 -3793971792
151 12 0 1080288846
152 13 0 3927407361
153 14 0 -180319719
154 15 0 1126750996
159 0 0 5917081600
160 1 0 674671977
161 2 0 2132505950
162 3 0 -690389292
163 4 0 -115700897
164 5 0 -1653038663
165 6 0 -1437789392
166 7 0 -3030600192
167 8 0 1615026782
168 9 0 -402663987
169 10 0 -1726816457
170 11 0 -2152208362
171 12 0 -2821389837
172 13 0 -1495312364
173 14 0 -2475160629
174 15 0 -2246876487
179 0 0 9038659584
180 1 0 -696360650
181 2 0 1595910711
182 3 0 1495401751
183 4 0 -43353469
184 5 0 -1475460320
185 6 0 -1964737941
186 7 0 -1287908187
187 8 0 -159127015
188 9 0 -1091004262
189 10 0 1463822968
190 11 0 -2187317115
191 12 0 -721554220
192 13 0 2413836105
193 14 0 -1703768860
194 15 0 277325242
199 0 0 8944680960
200 1 0 -1813126775
201 2 0 1111512451
202 3 0 2679667973
203 4 0 864084192
204 5 0 265350960
205 6 0 -362664509
206 7 0 -3693123266
207 8 0 199820992
208 9 0 879609593
209 10 0 202685364
210 11 0 -2210096267
211 12 0 -1032276940
212 13 0 2746328727
213 14 0 74940657
214 15 0 2807994056
219 0 0 5664669696
220 1 0 960417259
221 2 0 5042849455
222 3 0 1442559002
223 4 0 -268888897
224 5 0 -1830157994
225 6 0 1645694896
226 7 0 -1574763834
227 8 0 -2048571081
228 9 0 -1426865411
229 10 0 -1272284561
230 11 0 -1026450271
231 12 0 -997744666
232 13 0 -1440114646
233 14 0 -699364846
234 15 0 -137681312
239 0 0 1775075328
240 1 0 -645282941
241 2 0 43110968
242 3 0 1911929961
243 4 0 932193267
244 5 0 -325395350
245 6 0 -2792274227
246 7 0 -354261093
247 8 0 133124192
248 9 0 1176955375
249 10 0 1484241525
250 11 0 -29732534
251 12 0 -1979974115
252 13 0 1483623703
253 14 0 -1242976755
254 15 0 -3328843371
259 0 0 -2892824576
260 1 0 -2761467564
261 2 0 -1401808928
262 3 0 897343580
263 4 0 1453019528
264 5 0 -1227797471
265 6 0 -2822841852
266 7 0 3126886542
267 8 0 1598488499
268 9 0 -3115395039
269 10 0 4203689775
270 11 0 638415898
271 12 0 1132522573
272 13 0 3178706188
273 14 0 857958125
274 15 0 1163398040
279 0 0 1420099584
280 1 0 -734753988
281 2 0 -339816326
282 3 0 5799161070
283 4 0 4412562945
284 5 0 -2913131411
285 6 0 2319022417
286 7 0 -1504071979
287 8 0 -1231864131
288 9 0 2678373297
289 10 0 1027774761
290 11 0 340487271
291 12 0 -617129383
292 13 0 2680963916
293 14 0 1507062144
294 15 0 2802968122
299 0 0 -248676352
300 1 0 -2705806760
301 2 0 2077226321
302 3 0 2310011697
303 4 0 1307765411
304 5 0 -3206395911
305 6 0 -954367554
306 7 0 836043810
307 8 0 -384809823
308 9 0 1418174194
309 10 0 1959801556
310 11 0 -1381020759
311 12 0 -431711272
312 13 0 1226411932
313 14 0 -1077104952
314 15 0 838774990
319 0 0 -159285248
320 1 0 -1596485337
321 2 0 -1516273901
322 3 0 -1317480482
323 4 0 1426033060
324 5 0 -1188122221
325 6 0 -546195353
326 7 0 3596768849
327 8 0 1610350490
328 9 0 -1695428674
329 10 0 4657302702
330 11 0 2429072459
331 12 0 -2323305481
332 13 0 2540196840
333 14 0 -862062921
334 15 0 -2805657345
339 0 0 -3497984000
340 1 0 -148350227
341 2 0 -1050468200
342 3 0 1044532250
343 4 0 -1134609743
344 5 0 -596901180
345 6 0 -334095562
346 7 0 1767529221
347 8 0 -540790313
348 9 0 -1571769224
349 10 0 -718192128
350 11 0 1968024541
351 12 0 -2456237036
352 13 0 1795428778
353 14 0 4535726332
354 15 0 2021859986
359 0 0 1283555328
360 1 0 -1103986879
361 2 0 -1727929968
362 3 0 1515960927
363 4 0 65046985
364 5 0 -3718508629
365 6 0 -2736225569
366 7 0 -576425696
367 8 0 -2696940939
368 9 0 5307065799
369 10 0 47326595
370 11 0 -3315351733
371 12 0 1351378729
372 13 0 3594430733
373 14 0 3254694427
374 15 0 2872870677
379 0 0 878903296
380 1 0 -1342312039
381 2 0 -1890418658
382 3 0 971064139
383 4 0 649014607
384 5 0 338504348
385 6 0 -1265318856
386 7 0 -1922734021
387 8 0 173166362
388 9 0 3792476547
389 10 0 552672726
390 11 0 918778054
391 12 0 296116786
392 13 0 114619317
393 14 0 115035822
394 15 0 112654013
399 0 0 -2843607040
400 1 0 318660916
401 2 0 -472686778
402 3 0 -1058804768
403 4 0 -1472098749
404 5 0 -1347581461
405 6 0 2264122465
406 7 0 2896706279
407 8 0 -3671461187
408 9 0 -2746631533
409 10 0 -395971249
410 11 0 3984877018
411 12 0 -699327841
412 13 0 -1815373077
413 14 0 1378587086
414 15 0 -208926150
419 0 0 -4496097280
420 1 0 -22118941
421 2 0 -1714839592
422 3 0 -718501211
423 4 0 1043006710
424 5 0 -356639543
425 6 0 1316444171
426 7 0 1822299614
427 8 0 559688245
428 9 0 4315604006
429 10 0 438973782
430 11 0 -915389768
431 12 0 167455590
432 13 0 3141730815
433 14 0 2331260253
434 15 0 447485945
439 0 0 -3894706176
440 1 0 1093981939
441 2 0 -554852540
442 3 0 2336379193
443 4 0 1080086051
444 5 0 639766347
445 6 0 -1588123813
446 7 0 -1198777901
447 8 0 24206464
448 9 0 -2535191310
449 10 0 -4919757383
450 11 0 915247810
451 12 0 1515888640
452 13 0 -5710837068
453 14 0 -1851230017
454 15 0 270153861
459 0 0 2035810304
460 1 0 -675573724
461 2 0 2143249464
462 3 0 303207954
463 4 0 1045832028
464 5 0 614522138
465 6 0 2742342960
466 7 0 2123460612
467 8 0 4589080004
468 9 0 -458104148
469 10 0 -1557978175
470 11 0 -2173586463
471 12 0 -2662347534
472 13 0 -638190959
473 14 0 -3078081450
474 15 0 3519406558
479 0 0 3181084672
480 1 0 291947900
481 2 0 2646193053
482 3 0 -3008090719
483 4 0 -1656448469
484 5 0 473974103
485 6 0 1883547205
486 7 0 -257347620
487 8 0 -1376070359
488 9 0 -2331440934
489 10 0 -1390889092
490 11 0 -152191447
491 12 0 -1286982198
492 13 0 -74416392
493 14 0 393940565
494 15 0 -247870783
499 0 0 5041979392
500 1 0 10843873
501 2 0 1159797265
502 3 0 1772425024
503 4 0 -2130523084
504 5 0 3509006249
505 6 0 -2500091592
506 7 0 -4534752825
507 8 0 -1727910677
508 9 0 628448774
509 10 0 -319369598
510 11 0 108673811
511 12 0 -10997604
512 13 0 1707776903
513 14 0 -1005968334
514 15 0 2798416599
519 0 0 4963074048
520 1 0 -542573505
521 2 0 2992547600
522 3 0 2715411737
523 4 0 -302435078
524 5 0 837924569
525 6 0 -1042920314
526 7 0 -3045814195
