cycle,tfsm,wac,out_valid,out_ready,pixel_valid,ch_done,ch3_5_en,ch_count,win_valid,phase_clear,mac_start,mac_done,out_ch_sel,rom_grp,psum_valid,psum_och,psum_pass,psum_data
0,IDLE,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CH02_IMG_IN,IDLE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
