cycle,pos,y,x,och,code,out_ch_done,python,diff
7012,0,0,0,0,0,0,0,0
7032,1,0,1,0,0,0,0,0
7052,2,0,2,0,0,0,0,0
7072,3,0,3,0,79,0,79,0
7092,4,0,4,0,241,0,241,0
7112,5,0,5,0,443,0,443,0
7132,6,0,6,0,0,0,0,0
7152,7,0,7,0,0,0,0,0
7172,8,0,8,0,0,0,0,0
7192,9,0,9,0,0,0,0,0
7212,10,0,10,0,0,0,0,0
7244,11,1,0,0,0,0,0,0
7264,12,1,1,0,0,0,0,0
7284,13,1,2,0,0,0,0,0
7304,14,1,3,0,359,0,359,0
7324,15,1,4,0,699,0,699,0
7344,16,1,5,0,673,0,673,0
7364,17,1,6,0,0,0,0,0
7384,18,1,7,0,0,0,0,0
7404,19,1,8,0,0,0,0,0
7424,20,1,9,0,0,0,0,0
7444,21,1,10,0,0,0,0,0
7476,22,2,0,0,0,0,0,0
7496,23,2,1,0,0,0,0,0
7516,24,2,2,0,247,0,247,0
7536,25,2,3,0,481,0,481,0
7556,26,2,4,0,853,0,853,0
7576,27,2,5,0,143,0,143,0
7596,28,2,6,0,0,0,0,0
7616,29,2,7,0,0,0,0,0
7636,30,2,8,0,0,0,0,0
7656,31,2,9,0,0,0,0,0
7676,32,2,10,0,0,0,0,0
7708,33,3,0,0,0,0,0,0
7728,34,3,1,0,197,0,197,0
7748,35,3,2,0,626,0,626,0
7768,36,3,3,0,678,0,678,0
7788,37,3,4,0,9,0,9,0
7808,38,3,5,0,0,0,0,0
7828,39,3,6,0,0,0,0,0
7848,40,3,7,0,0,0,0,0
7868,41,3,8,0,0,0,0,0
7888,42,3,9,0,0,0,0,0
7908,43,3,10,0,0,0,0,0
7940,44,4,0,0,0,0,0,0
7960,45,4,1,0,532,0,532,0
7980,46,4,2,0,1330,0,1330,0
8000,47,4,3,0,687,0,687,0
8020,48,4,4,0,0,0,0,0
8040,49,4,5,0,0,0,0,0
8060,50,4,6,0,0,0,0,0
8080,51,4,7,0,0,0,0,0
8100,52,4,8,0,0,0,0,0
8120,53,4,9,0,0,0,0,0
8140,54,4,10,0,0,0,0,0
8172,55,5,0,0,5,0,5,0
8192,56,5,1,0,856,0,856,0
8212,57,5,2,0,1790,0,1790,0
8232,58,5,3,0,282,0,282,0
8252,59,5,4,0,0,0,0,0
8272,60,5,5,0,0,0,0,0
8292,61,5,6,0,0,0,0,0
8312,62,5,7,0,0,0,0,0
8332,63,5,8,0,0,0,0,0
8352,64,5,9,0,0,0,0,0
8372,65,5,10,0,0,0,0,0
8404,66,6,0,0,214,0,214,0
8424,67,6,1,0,1193,0,1193,0
8444,68,6,2,0,1485,0,1485,0
8464,69,6,3,0,0,0,0,0
8484,70,6,4,0,0,0,0,0
8504,71,6,5,0,0,0,0,0
8524,72,6,6,0,0,0,0,0
8544,73,6,7,0,0,0,0,0
8564,74,6,8,0,0,0,0,0
8584,75,6,9,0,0,0,0,0
8604,76,6,10,0,0,0,0,0
8636,77,7,0,0,533,0,533,0
8656,78,7,1,0,1568,0,1568,0
8676,79,7,2,0,1120,0,1120,0
8696,80,7,3,0,0,0,0,0
8716,81,7,4,0,0,0,0,0
8736,82,7,5,0,341,0,341,0
8756,83,7,6,0,0,0,0,0
8776,84,7,7,0,0,0,0,0
8796,85,7,8,0,0,0,0,0
8816,86,7,9,0,0,0,0,0
8836,87,7,10,0,0,0,0,0
8868,88,8,0,0,731,0,731,0
8888,89,8,1,0,2299,0,2299,0
8908,90,8,2,0,1428,0,1428,0
8928,91,8,3,0,0,0,0,0
8948,92,8,4,0,0,0,0,0
8968,93,8,5,0,71,0,71,0
8988,94,8,6,0,0,0,0,0
9008,95,8,7,0,0,0,0,0
9028,96,8,8,0,0,0,0,0
9048,97,8,9,0,0,0,0,0
9068,98,8,10,0,0,0,0,0
9100,99,9,0,0,458,0,458,0
9120,100,9,1,0,2492,0,2492,0
9140,101,9,2,0,2446,0,2446,0
9160,102,9,3,0,0,0,0,0
9180,103,9,4,0,0,0,0,0
9200,104,9,5,0,0,0,0,0
9220,105,9,6,0,0,0,0,0
9240,106,9,7,0,0,0,0,0
9260,107,9,8,0,0,0,0,0
9280,108,9,9,0,0,0,0,0
9300,109,9,10,0,0,0,0,0
9332,110,10,0,0,0,0,0,0
9352,111,10,1,0,990,0,990,0
9372,112,10,2,0,2322,0,2322,0
9392,113,10,3,0,655,0,655,0
9412,114,10,4,0,137,0,137,0
9432,115,10,5,0,0,0,0,0
9452,116,10,6,0,0,0,0,0
9472,117,10,7,0,0,0,0,0
9492,118,10,8,0,0,0,0,0
9512,119,10,9,0,0,0,0,0
9532,120,10,10,0,0,1,0,0
9533,0,0,0,1,0,0,0,0
9534,1,0,1,1,0,0,0,0
9535,2,0,2,1,0,0,0,0
9536,3,0,3,1,0,0,0,0
9537,4,0,4,1,0,0,0,0
9538,5,0,5,1,0,0,0,0
9539,6,0,6,1,0,0,0,0
9540,7,0,7,1,0,0,0,0
9541,8,0,8,1,0,0,0,0
9542,9,0,9,1,0,0,0,0
9543,10,0,10,1,0,0,0,0
9544,11,1,0,1,0,0,0,0
9545,12,1,1,1,0,0,0,0
9546,13,1,2,1,0,0,0,0
9547,14,1,3,1,0,0,0,0
9548,15,1,4,1,0,0,0,0
9549,16,1,5,1,0,0,0,0
9550,17,1,6,1,0,0,0,0
9551,18,1,7,1,0,0,0,0
9552,19,1,8,1,0,0,0,0
9553,20,1,9,1,0,0,0,0
9554,21,1,10,1,0,0,0,0
9555,22,2,0,1,0,0,0,0
9556,23,2,1,1,0,0,0,0
9557,24,2,2,1,0,0,0,0
9558,25,2,3,1,0,0,0,0
9559,26,2,4,1,0,0,0,0
9560,27,2,5,1,0,0,0,0
9561,28,2,6,1,0,0,0,0
9562,29,2,7,1,0,0,0,0
9563,30,2,8,1,0,0,0,0
