cycle,pos,y,x,och,code,out_ch_done,python,diff
68,0,0,0,0,0,0,0,0
68,0,0,0,1,1681,0,1681,0
68,0,0,0,2,0,0,0,0
78,1,0,1,0,0,0,0,0
78,1,0,1,1,1681,0,1681,0
78,1,0,1,2,0,0,0,0
88,2,0,2,0,0,0,0,0
88,2,0,2,1,1681,0,1681,0
88,2,0,2,2,0,0,0,0
98,3,0,3,0,0,0,0,0
98,3,0,3,1,1681,0,1681,0
98,3,0,3,2,0,0,0,0
108,4,0,4,0,0,0,0,0
108,4,0,4,1,1681,0,1681,0
108,4,0,4,2,0,0,0,0
118,5,0,5,0,0,0,0,0
118,5,0,5,1,1681,0,1681,0
118,5,0,5,2,0,0,0,0
128,6,0,6,0,0,0,0,0
128,6,0,6,1,1681,0,1681,0
128,6,0,6,2,0,0,0,0
138,7,0,7,0,0,0,0,0
138,7,0,7,1,1681,0,1681,0
138,7,0,7,2,0,0,0,0
148,8,0,8,0,0,0,0,0
148,8,0,8,1,1681,0,1681,0
148,8,0,8,2,0,0,0,0
158,9,0,9,0,0,0,0,0
158,9,0,9,1,1681,0,1681,0
158,9,0,9,2,0,0,0,0
168,10,0,10,0,0,0,0,0
168,10,0,10,1,1681,0,1681,0
168,10,0,10,2,0,0,0,0
178,11,0,11,0,0,0,0,0
178,11,0,11,1,1681,0,1681,0
178,11,0,11,2,0,0,0,0
188,12,0,12,0,0,0,0,0
188,12,0,12,1,1681,0,1681,0
188,12,0,12,2,0,0,0,0
198,13,0,13,0,0,0,0,0
198,13,0,13,1,1560,0,1560,0
198,13,0,13,2,0,0,0,0
208,14,0,14,0,0,0,0,0
208,14,0,14,1,987,0,987,0
208,14,0,14,2,0,0,0,0
218,15,0,15,0,0,0,0,0
218,15,0,15,1,308,0,308,0
218,15,0,15,2,0,0,0,0
228,16,0,16,0,0,0,0,0
228,16,0,16,1,96,0,96,0
228,16,0,16,2,0,0,0,0
238,17,0,17,0,0,0,0,0
238,17,0,17,1,676,0,676,0
238,17,0,17,2,76,0,76,0
248,18,0,18,0,0,0,0,0
248,18,0,18,1,1332,0,1332,0
248,18,0,18,2,17,0,17,0
258,19,0,19,0,0,0,0,0
258,19,0,19,1,1665,0,1665,0
258,19,0,19,2,0,0,0,0
268,20,0,20,0,0,0,0,0
268,20,0,20,1,1681,0,1681,0
268,20,0,20,2,0,0,0,0
278,21,0,21,0,0,0,0,0
278,21,0,21,1,1681,0,1681,0
278,21,0,21,2,0,0,0,0
288,22,0,22,0,0,0,0,0
288,22,0,22,1,1681,0,1681,0
288,22,0,22,2,0,0,0,0
298,23,0,23,0,0,0,0,0
298,23,0,23,1,1681,0,1681,0
298,23,0,23,2,0,0,0,0
308,24,0,24,0,0,0,0,0
308,24,0,24,1,1681,0,1681,0
308,24,0,24,2,0,0,0,0
318,25,0,25,0,0,0,0,0
318,25,0,25,1,1681,0,1681,0
318,25,0,25,2,0,0,0,0
330,26,1,0,0,0,0,0,0
330,26,1,0,1,1681,0,1681,0
330,26,1,0,2,0,0,0,0
340,27,1,1,0,0,0,0,0
340,27,1,1,1,1681,0,1681,0
340,27,1,1,2,0,0,0,0
350,28,1,2,0,0,0,0,0
350,28,1,2,1,1681,0,1681,0
350,28,1,2,2,0,0,0,0
360,29,1,3,0,0,0,0,0
360,29,1,3,1,1681,0,1681,0
360,29,1,3,2,0,0,0,0
370,30,1,4,0,0,0,0,0
