# conv_l1_real_A.csv frame 0: final outputs, 6 ch x 26 x 26
# values      : 4056 / 4056
# cycles      : 68 .. 7544
# out_ch_done : 6 values (last pixel of each pass/frame)
# vs Python   : 4055 exact, 1 different

och  0
      x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25  
  y0      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  y1      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  y2      0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  y3      0     0     0     0     0     0     0     0     0     0     0     0     0   501     0     0     0     0     0     0     0     0     0     0     0     0
  y4      0     0     0     0     0     0     0     0     0     0     0   119   875  1030   804  1617  1838     0     0     0     0     0     0     0     0     0
  y5      0     0     0     0     0     0     0     0     0     0     0  1136   250    16  1353  2832  2678  1622  1416     0     0     0     0     0     0     0
  y6      0     0     0     0     0     0     0     0     0     0   255  1133     0   263   456  1824  3101  3388  1862     0     0     0     0     0     0     0
  y7      0     0     0     0     0     0     0     0     0   208  1745   556   457  1868     0   876  2077   962     0     0     0     0     0     0     0     0
  y8      0     0     0     0     0     0     0     0     0   373   553   841  2064  2084  1429  1892    20     0     0     0     0     0     0     0     0     0
  y9      0     0     0     0     0     0     0     0  1598     0     0     0  1464  2370  2954  1525     0     0     0     0     0     0     0     0     0     0
  y10     0     0     0     0     0     0     0  1418  2654   549   454     0   937  2223   779     0     0     0     0     0     0     0     0     0     0     0
  y11     0     0     0     0     0     0     0  2190  2948  1763  1045     0   916   328     0     0     0     0     0     0     0     0     0     0     0     0
  y12     0     0     0     0     0     0     0  2655  2166  1507     0    52  1226     0     0     0     0     0     0     0     0     0     0     0     0     0
  y13     0     0     0     0     0     0   761  2922  2322  1121     0   534  1163  1081     0     0     0     0     0     0     0     0     0     0     0     0
  y14     0     0     0     0     0     0   966  2771  2082   300     0     0  1535  2834  1752  1681  2771  2725  1544     0     0     0     0     0     0     0
  y15     0     0     0     0     0   512  1752  1644   846     0     0     0  1026  1456  2048  2915  2972  2972  2747     0     0     0     0     0     0     0
  y16     0     0     0     0     0  1490  2935  2138  1323    58     0  1104   507     0  1366  2945  2983  2902  2768   697     0     0     0     0     0     0
  y17     0     0     0     0     0  1779  3213  2758  1734   228   669  2510   736  1328  2462  3007  2984  2166  1598   928  1402   539     0     0     0     0
  y18     0     0     0     0     0  2388  3023  2025   891    23  2144  2447  1108  2640  2944  2981  2684  1323  1976  2290  1081     0     0     0     0     0
  y19     0     0     0     0     0  3296  4085  3476  1411   167   963   483  1552  2880  2907  2810  1820  1146  3098  2128   216     0     0     0     0     0
  y20     0     0     0     0     0  2493  5030  6141  4195  1720   302   914  2661  2954  2155  1617  1013  1864  1392     0     0     0     0     0     0     0
  y21     0     0     0     0     0   937  3926  7137  6199  3727  2814  2849  3032  2887  1944  2640  2351  1094     0     0     0     0     0     0     0     0
  y22     0     0     0     0     0     0  1415  5957  7765  7263  5828  5436  4978  3551  3086  3704  2161   232     0     0     0     0     0     0     0     0
  y23     0     0     0     0     0     0     0   919  4420  6338  6206  5833  5105  3724  2908  1060     0     0     0     0     0     0     0     0     0     0
  y24     0     0     0     0     0     0     0     0     0  1312  2390  2460  2107  1155     0     0     0     0     0     0     0     0     0     0     0     0
  y25     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

och  1
      x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25  
  y0   1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1560   987   308    96   676  1332  1665  1681  1681  1681  1681  1681  1681
  y1   1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1629  1029     0     0     0     0   160  1560  1681  1681  1681  1681  1681  1681
  y2   1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1351   175     0     0     0     0     0     0  1003  1616  1681  1681  1681  1681  1681
  y3   1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1595   481     0     0     0     0     0     0     0   183  1409  1681  1681  1681  1681  1681
  y4   1681  1681  1681  1681  1681  1681  1681  1681  1681  1681  1332     0     0     0     0     0     0     0     0   452  1373  1681  1681  1681  1681  1681
  y5   1681  1681  1681  1681  1681  1681  1681  1681  1664  1523     0     0     0     0     0     0  1250  2257  2003  1826  1652  1681  1681  1681  1681  1681
  y6   1681  1681  1681  1681  1681  1681  1681  1681  1299     0     0     0     0     0     0  1728  4660  3698  2720  1987  1735  1681  1681  1681  1681  1681
  y7   1681  1681  1681  1681  1681  1681  1681  1664   847     0     0     0     0     0     0  1489  2890  2234  1828  1689  1681  1681  1681  1681  1681  1681
  y8   1681  1681  1681  1681  1681  1681  1681  1108     0     0     0     0     0  1061  2641  2328  2023  1725  1681  1681  1681  1681  1681  1681  1681  1681
  y9   1681  1681  1681  1681  1681  1681  1542     0     0     0     0     0  1299  3944  3116  2505  1809  1649  1632  1681  1681  1681  1681  1681  1681  1681
  y10  1681  1681  1681  1681  1681  1647  1274     0     0     0     0     0  1412  2807  1981  1542   971   906  1062  1546  1665  1681  1681  1681  1681  1681
  y11  1681  1681  1681  1681  1681  1524   723     0     0     0     0     0  1388  1462     0     0     0     0     0     0  1313  1681  1681  1681  1681  1681
  y12  1681  1681  1681  1681  1681  1211     0     0     0     0     0   213   378     0     0     0     0     0     0     0     0  1253  1599  1681  1681  1681
  y13  1681  1681  1681  1681  1681  1081     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1123  1681  1681  1681
  y14  1681  1681  1681  1681  1647   545     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   892  1681  1681  1681
  y15  1681  1681  1681  1681  1611     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1046  1681  1681  1681
  y16  1681  1681  1681  1681  1543     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   111  1384  1508  1681  1681  1681
  y17  1681  1681  1681  1647  1313     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1332  1503  2095  1743  1681  1681  1681
  y18  1681  1681  1681  1611  1075     0     0     0     0     0     0     0     0     0     0     0     0     0  2519  3302  2013  1827  1702  1681  1681  1681
  y19  1681  1681  1681  1665  1540   581     0     0     0     0     0     0     0     0     0     0   392  2905  3611  3012  2050  1720  1685  1681  1681  1681
  y20  1681  1681  1681  1720  1956  2403  2293     0     0     0     0     0     0     0     0     0  1818  1989  2334  1886  1716  1681  1681  1681  1681  1681
  y21  1681  1681  1681  1701  1891  3056  4240  2079     0     0     0     0     0     0   846  3175  3374  1998  1767  1685  1681  1681  1681  1681  1681  1681
  y22  1681  1681  1681  1681  1750  2641  4261  5542  5277  2966  1405  1423  2234  4109  4652  4244  3042  2055  1716  1681  1681  1681  1681  1681  1681  1681
  y23  1681  1681  1681  1681  1681  1895  2636  4343  5759  6303  5679  5594  5493  4795  3198  2448  1876  1712  1681  1681  1681  1681  1681  1681  1681  1681
  y24  1681  1681  1681  1681  1681  1691  1758  2190  3275  4284  4554  4447  3943  2856  1945  1713  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681
  y25  1681  1681  1681  1681  1681  1681  1681  1759  2062  2347  2482  2452  2292  1985  1766  1685  1681  1681  1681  1681  1681  1681  1681  1681  1681  1681

och  2
