cycle,out_valid,out_ready,in_frame,in_pass,in_y,in_x,out_data0,out_data1,out_data2,ch_done,row_cnt,col_cnt,row_odd,col_odd,win_valid,pixel_valid,prev_we,mem_we,pool_mem_addr,prev_reg0,prev_reg1,prev_reg2,pair0,pair1,pair2,mem_rd0,mem_rd1,mem_rd2,pool_valid,pool_ready,pool_data0,pool_data1,pool_data2,pool_ch_done,out_frame,out_pass,out_py,out_px,monitor_err
0,1,1,0,0,0,0,0,1681,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
1,1,1,0,0,0,1,0,1681,0,0,0,1,0,1,0,1,0,1,0,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
2,1,1,0,0,0,2,0,1681,0,0,0,2,0,0,0,1,1,0,1,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
3,1,1,0,0,0,3,0,1681,0,0,0,3,0,1,0,1,0,1,1,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
4,1,1,0,0,0,4,0,1681,0,0,0,4,0,0,0,1,1,0,2,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
5,1,1,0,0,0,5,0,1681,0,0,0,5,0,1,0,1,0,1,2,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
6,1,1,0,0,0,6,0,1681,0,0,0,6,0,0,0,1,1,0,3,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
7,1,1,0,0,0,7,0,1681,0,0,0,7,0,1,0,1,0,1,3,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
8,1,1,0,0,0,8,0,1681,0,0,0,8,0,0,0,1,1,0,4,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
9,1,1,0,0,0,9,0,1681,0,0,0,9,0,1,0,1,0,1,4,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
10,1,1,0,0,0,10,0,1681,0,0,0,10,0,0,0,1,1,0,5,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
11,1,1,0,0,0,11,0,1681,0,0,0,11,0,1,0,1,0,1,5,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
12,1,1,0,0,0,12,0,1681,0,0,0,12,0,0,0,1,1,0,6,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
13,1,1,0,0,0,13,0,1560,0,0,0,13,0,1,0,1,0,1,6,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
14,1,1,0,0,0,14,0,987,0,0,0,14,0,0,0,1,1,0,7,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
15,1,1,0,0,0,15,0,308,0,0,0,15,0,1,0,1,0,1,7,0,987,0,0,987,0,0,0,0,0,1,0,987,0,0,,,,,0
16,1,1,0,0,0,16,0,96,0,0,0,16,0,0,0,1,1,0,8,0,987,0,0,987,0,0,0,0,0,1,0,987,0,0,,,,,0
17,1,1,0,0,0,17,0,676,76,0,0,17,0,1,0,1,0,1,8,0,96,0,0,676,76,0,0,0,0,1,0,676,76,0,,,,,0
18,1,1,0,0,0,18,0,1332,17,0,0,18,0,0,0,1,1,0,9,0,96,0,0,1332,17,0,0,0,0,1,0,1332,17,0,,,,,0
19,1,1,0,0,0,19,0,1665,0,0,0,19,0,1,0,1,0,1,9,0,1332,17,0,1665,17,0,0,0,0,1,0,1665,17,0,,,,,0
20,1,1,0,0,0,20,0,1681,0,0,0,20,0,0,0,1,1,0,10,0,1332,17,0,1681,17,0,0,0,0,1,0,1681,17,0,,,,,0
21,1,1,0,0,0,21,0,1681,0,0,0,21,0,1,0,1,0,1,10,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
22,1,1,0,0,0,22,0,1681,0,0,0,22,0,0,0,1,1,0,11,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
23,1,1,0,0,0,23,0,1681,0,0,0,23,0,1,0,1,0,1,11,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
24,1,1,0,0,0,24,0,1681,0,0,0,24,0,0,0,1,1,0,12,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
25,1,1,0,0,0,25,0,1681,0,0,0,25,0,1,0,1,0,1,12,0,1681,0,0,1681,0,0,0,0,0,1,0,1681,0,0,,,,,0
26,1,1,0,0,1,0,0,1681,0,0,1,0,1,0,0,1,1,0,0,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
27,1,1,0,0,1,1,0,1681,0,0,1,1,1,1,1,1,0,0,0,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,0,0,0
28,1,1,0,0,1,2,0,1681,0,0,1,2,1,0,0,1,1,0,1,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
29,1,1,0,0,1,3,0,1681,0,0,1,3,1,1,1,1,0,0,1,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,0,1,0
30,1,1,0,0,1,4,0,1681,0,0,1,4,1,0,0,1,1,0,2,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
31,1,1,0,0,1,5,0,1681,0,0,1,5,1,1,1,1,0,0,2,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,0,2,0
32,1,1,0,0,1,6,0,1681,0,0,1,6,1,0,0,1,1,0,3,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
33,1,1,0,0,1,7,0,1681,0,0,1,7,1,1,1,1,0,0,3,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,0,3,0
34,1,1,0,0,1,8,0,1681,0,0,1,8,1,0,0,1,1,0,4,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
35,1,1,0,0,1,9,0,1681,0,0,1,9,1,1,1,1,0,0,4,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,0,4,0
36,1,1,0,0,1,10,0,1681,0,0,1,10,1,0,0,1,1,0,5,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
37,1,1,0,0,1,11,0,1681,0,0,1,11,1,1,1,1,0,0,5,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,0,5,0
38,1,1,0,0,1,12,0,1629,0,0,1,12,1,0,0,1,1,0,6,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
39,1,1,0,0,1,13,0,1029,0,0,1,13,1,1,1,1,0,0,6,0,1629,0,0,1629,0,0,1681,0,1,1,0,1681,0,0,0,0,0,6,0
40,1,1,0,0,1,14,0,0,0,0,1,14,1,0,0,1,1,0,7,0,1629,0,0,1629,0,0,987,0,0,1,0,1629,0,0,,,,,0
41,1,1,0,0,1,15,0,0,0,0,1,15,1,1,1,1,0,0,7,0,0,0,0,0,0,0,987,0,1,1,0,987,0,0,0,0,0,7,0
42,1,1,0,0,1,16,0,0,90,0,1,16,1,0,0,1,1,0,8,0,0,0,0,0,90,0,676,76,0,1,0,676,90,0,,,,,0
43,1,1,0,0,1,17,0,0,603,0,1,17,1,1,1,1,0,0,8,0,0,90,0,0,603,0,676,76,1,1,0,676,603,0,0,0,0,8,0
44,1,1,0,0,1,18,0,160,361,0,1,18,1,0,0,1,1,0,9,0,0,90,0,160,361,0,1665,17,0,1,0,1665,361,0,,,,,0
45,1,1,0,0,1,19,0,1560,0,0,1,19,1,1,1,1,0,0,9,0,160,361,0,1560,361,0,1665,17,1,1,0,1665,361,0,0,0,0,9,0
46,1,1,0,0,1,20,0,1681,0,0,1,20,1,0,0,1,1,0,10,0,160,361,0,1681,361,0,1681,0,0,1,0,1681,361,0,,,,,0
47,1,1,0,0,1,21,0,1681,0,0,1,21,1,1,1,1,0,0,10,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,0,10,0
48,1,1,0,0,1,22,0,1681,0,0,1,22,1,0,0,1,1,0,11,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
49,1,1,0,0,1,23,0,1681,0,0,1,23,1,1,1,1,0,0,11,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,0,11,0
50,1,1,0,0,1,24,0,1681,0,0,1,24,1,0,0,1,1,0,12,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
51,1,1,0,0,1,25,0,1681,0,0,1,25,1,1,1,1,0,0,12,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,0,12,0
52,1,1,0,0,2,0,0,1681,0,0,2,0,0,0,0,1,1,0,0,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
53,1,1,0,0,2,1,0,1681,0,0,2,1,0,1,0,1,0,1,0,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
54,1,1,0,0,2,2,0,1681,0,0,2,2,0,0,0,1,1,0,1,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
55,1,1,0,0,2,3,0,1681,0,0,2,3,0,1,0,1,0,1,1,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
56,1,1,0,0,2,4,0,1681,0,0,2,4,0,0,0,1,1,0,2,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
57,1,1,0,0,2,5,0,1681,0,0,2,5,0,1,0,1,0,1,2,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
58,1,1,0,0,2,6,0,1681,0,0,2,6,0,0,0,1,1,0,3,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
59,1,1,0,0,2,7,0,1681,0,0,2,7,0,1,0,1,0,1,3,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
60,1,1,0,0,2,8,0,1681,0,0,2,8,0,0,0,1,1,0,4,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
61,1,1,0,0,2,9,0,1681,0,0,2,9,0,1,0,1,0,1,4,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
62,1,1,0,0,2,10,0,1681,0,0,2,10,0,0,0,1,1,0,5,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
63,1,1,0,0,2,11,0,1351,0,0,2,11,0,1,0,1,0,1,5,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
64,1,1,0,0,2,12,0,175,0,0,2,12,0,0,0,1,1,0,6,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
65,1,1,0,0,2,13,0,0,0,0,2,13,0,1,0,1,0,1,6,0,175,0,0,175,0,0,1681,0,0,1,0,1681,0,0,,,,,0
66,1,1,0,0,2,14,0,0,0,0,2,14,0,0,0,1,1,0,7,0,175,0,0,175,0,0,987,0,0,1,0,987,0,0,,,,,0
67,1,1,0,0,2,15,0,0,0,0,2,15,0,1,0,1,0,1,7,0,0,0,0,0,0,0,987,0,0,1,0,987,0,0,,,,,0
68,1,1,0,0,2,16,0,0,858,0,2,16,0,0,0,1,1,0,8,0,0,0,0,0,858,0,676,76,0,1,0,676,858,0,,,,,0
69,1,1,0,0,2,17,0,0,1792,0,2,17,0,1,0,1,0,1,8,0,0,858,0,0,1792,0,676,76,0,1,0,676,1792,0,,,,,0
70,1,1,0,0,2,18,0,0,1269,0,2,18,0,0,0,1,1,0,9,0,0,858,0,0,1269,0,1665,17,0,1,0,1665,1269,0,,,,,0
71,1,1,0,0,2,19,0,1003,125,0,2,19,0,1,0,1,0,1,9,0,0,1269,0,1003,1269,0,1665,17,0,1,0,1665,1269,0,,,,,0
72,1,1,0,0,2,20,0,1616,0,0,2,20,0,0,0,1,1,0,10,0,0,1269,0,1616,1269,0,1681,0,0,1,0,1681,1269,0,,,,,0
73,1,1,0,0,2,21,0,1681,0,0,2,21,0,1,0,1,0,1,10,0,1616,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
74,1,1,0,0,2,22,0,1681,0,0,2,22,0,0,0,1,1,0,11,0,1616,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
75,1,1,0,0,2,23,0,1681,0,0,2,23,0,1,0,1,0,1,11,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
76,1,1,0,0,2,24,0,1681,0,0,2,24,0,0,0,1,1,0,12,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
77,1,1,0,0,2,25,0,1681,0,0,2,25,0,1,0,1,0,1,12,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
78,1,1,0,0,3,0,0,1681,0,0,3,0,1,0,0,1,1,0,0,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
79,1,1,0,0,3,1,0,1681,0,0,3,1,1,1,1,1,0,0,0,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,1,0,0
80,1,1,0,0,3,2,0,1681,0,0,3,2,1,0,0,1,1,0,1,0,1681,0,0,1681,0,0,1681,0,0,1,0,1681,0,0,,,,,0
81,1,1,0,0,3,3,0,1681,0,0,3,3,1,1,1,1,0,0,1,0,1681,0,0,1681,0,0,1681,0,1,1,0,1681,0,0,0,0,1,1,0
