cycle,pos,y,x,och,code,out_ch_done,python,diff
27,0,0,0,0,0,0,0,0
27,0,0,0,1,1681,0,1681,0
27,0,0,0,2,0,0,0,0
29,1,0,1,0,0,0,0,0
29,1,0,1,1,1681,0,1681,0
29,1,0,1,2,0,0,0,0
31,2,0,2,0,0,0,0,0
31,2,0,2,1,1681,0,1681,0
31,2,0,2,2,0,0,0,0
33,3,0,3,0,0,0,0,0
33,3,0,3,1,1681,0,1681,0
33,3,0,3,2,0,0,0,0
35,4,0,4,0,0,0,0,0
35,4,0,4,1,1681,0,1681,0
35,4,0,4,2,0,0,0,0
37,5,0,5,0,0,0,0,0
37,5,0,5,1,1681,0,1681,0
37,5,0,5,2,0,0,0,0
39,6,0,6,0,0,0,0,0
39,6,0,6,1,1681,0,1681,0
39,6,0,6,2,0,0,0,0
41,7,0,7,0,0,0,0,0
41,7,0,7,1,987,0,987,0
41,7,0,7,2,0,0,0,0
43,8,0,8,0,0,0,0,0
43,8,0,8,1,676,0,676,0
43,8,0,8,2,603,0,603,0
45,9,0,9,0,0,0,0,0
45,9,0,9,1,1665,0,1665,0
45,9,0,9,2,361,0,361,0
47,10,0,10,0,0,0,0,0
47,10,0,10,1,1681,0,1681,0
47,10,0,10,2,0,0,0,0
49,11,0,11,0,0,0,0,0
49,11,0,11,1,1681,0,1681,0
49,11,0,11,2,0,0,0,0
51,12,0,12,0,0,0,0,0
51,12,0,12,1,1681,0,1681,0
51,12,0,12,2,0,0,0,0
79,13,1,0,0,0,0,0,0
79,13,1,0,1,1681,0,1681,0
79,13,1,0,2,0,0,0,0
81,14,1,1,0,0,0,0,0
81,14,1,1,1,1681,0,1681,0
81,14,1,1,2,0,0,0,0
83,15,1,2,0,0,0,0,0
83,15,1,2,1,1681,0,1681,0
83,15,1,2,2,0,0,0,0
85,16,1,3,0,0,0,0,0
85,16,1,3,1,1681,0,1681,0
85,16,1,3,2,0,0,0,0
87,17,1,4,0,0,0,0,0
87,17,1,4,1,1681,0,1681,0
87,17,1,4,2,0,0,0,0
89,18,1,5,0,0,0,0,0
89,18,1,5,1,1681,0,1681,0
89,18,1,5,2,0,0,0,0
91,19,1,6,0,501,0,501,0
91,19,1,6,1,175,0,175,0
91,19,1,6,2,0,0,0,0
93,20,1,7,0,0,0,0,0
93,20,1,7,1,0,0,0,0
93,20,1,7,2,2615,0,2615,0
95,21,1,8,0,0,0,0,0
95,21,1,8,1,0,0,0,0
95,21,1,8,2,3277,0,3277,0
97,22,1,9,0,0,0,0,0
97,22,1,9,1,1003,0,1003,0
97,22,1,9,2,2489,0,2489,0
99,23,1,10,0,0,0,0,0
99,23,1,10,1,1681,0,1681,0
99,23,1,10,2,37,0,37,0
101,24,1,11,0,0,0,0,0
101,24,1,11,1,1681,0,1681,0
101,24,1,11,2,0,0,0,0
103,25,1,12,0,0,0,0,0
103,25,1,12,1,1681,0,1681,0
103,25,1,12,2,0,0,0,0
131,26,2,0,0,0,0,0,0
131,26,2,0,1,1681,0,1681,0
131,26,2,0,2,0,0,0,0
133,27,2,1,0,0,0,0,0
133,27,2,1,1,1681,0,1681,0
133,27,2,1,2,0,0,0,0
135,28,2,2,0,0,0,0,0
135,28,2,2,1,1681,0,1681,0
135,28,2,2,2,0,0,0,0
137,29,2,3,0,0,0,0,0
137,29,2,3,1,1681,0,1681,0
137,29,2,3,2,0,0,0,0
139,30,2,4,0,0,0,0,0
139,30,2,4,1,1681,0,1681,0
139,30,2,4,2,0,0,0,0
141,31,2,5,0,1136,0,1136,0
141,31,2,5,1,1332,0,1332,0
141,31,2,5,2,0,0,0,0
143,32,2,6,0,1030,0,1030,0
143,32,2,6,1,0,0,0,0
143,32,2,6,2,3919,0,3919,0
145,33,2,7,0,2832,0,2832,0
145,33,2,7,1,0,0,0,0
145,33,2,7,2,7108,0,7108,0
147,34,2,8,0,2678,0,2678,0
147,34,2,8,1,2257,0,2257,0
147,34,2,8,2,7047,0,7047,0
149,35,2,9,0,1416,0,1416,0
149,35,2,9,1,2003,0,2003,0
149,35,2,9,2,2974,0,2974,0
151,36,2,10,0,0,0,0,0
151,36,2,10,1,1681,0,1681,0
151,36,2,10,2,143,0,143,0
153,37,2,11,0,0,0,0,0
153,37,2,11,1,1681,0,1681,0
153,37,2,11,2,0,0,0,0
155,38,2,12,0,0,0,0,0
155,38,2,12,1,1681,0,1681,0
155,38,2,12,2,0,0,0,0
183,39,3,0,0,0,0,0,0
183,39,3,0,1,1681,0,1681,0
183,39,3,0,2,0,0,0,0
185,40,3,1,0,0,0,0,0
185,40,3,1,1,1681,0,1681,0
185,40,3,1,2,0,0,0,0
187,41,3,2,0,0,0,0,0
187,41,3,2,1,1681,0,1681,0
187,41,3,2,2,0,0,0,0
189,42,3,3,0,0,0,0,0
189,42,3,3,1,1681,0,1681,0
189,42,3,3,2,0,0,0,0
191,43,3,4,0,208,0,208,0
191,43,3,4,1,1299,0,1299,0
191,43,3,4,2,0,0,0,0
193,44,3,5,0,1745,0,1745,0
193,44,3,5,1,0,0,0,0
193,44,3,5,2,2355,0,2355,0
195,45,3,6,0,1868,0,1868,0
195,45,3,6,1,0,0,0,0
195,45,3,6,2,6834,0,6834,0
197,46,3,7,0,1824,0,1824,0
197,46,3,7,1,1728,0,1728,0
197,46,3,7,2,7578,0,7578,0
199,47,3,8,0,3388,0,3388,0
199,47,3,8,1,4660,0,4660,0
199,47,3,8,2,5976,0,5976,0
201,48,3,9,0,1862,0,1862,0
201,48,3,9,1,2720,0,2720,0
201,48,3,9,2,1295,0,1295,0
203,49,3,10,0,0,0,0,0
203,49,3,10,1,1735,0,1735,0
203,49,3,10,2,0,0,0,0
205,50,3,11,0,0,0,0,0
205,50,3,11,1,1681,0,1681,0
205,50,3,11,2,0,0,0,0
207,51,3,12,0,0,0,0,0
207,51,3,12,1,1681,0,1681,0
207,51,3,12,2,0,0,0,0
235,52,4,0,0,0,0,0,0
235,52,4,0,1,1681,0,1681,0
235,52,4,0,2,0,0,0,0
237,53,4,1,0,0,0,0,0
237,53,4,1,1,1681,0,1681,0
237,53,4,1,2,0,0,0,0
239,54,4,2,0,0,0,0,0
239,54,4,2,1,1681,0,1681,0
239,54,4,2,2,0,0,0,0
241,55,4,3,0,0,0,0,0
241,55,4,3,1,1681,0,1681,0
241,55,4,3,2,0,0,0,0
243,56,4,4,0,1598,0,1598,0
243,56,4,4,1,0,0,0,0
243,56,4,4,2,596,0,596,0
245,57,4,5,0,841,0,841,0
245,57,4,5,1,0,0,0,0
245,57,4,5,2,6646,0,6646,0
247,58,4,6,0,2370,0,2370,0
247,58,4,6,1,3944,0,3944,0
247,58,4,6,2,7338,0,7338,0
249,59,4,7,0,2954,0,2954,0
