cycle,pos,y,x,och,code,out_ch_done,python,diff
27,0,0,0,0,0,0,0,0
27,0,0,0,1,1681,0,1681,0
27,0,0,0,2,0,0,0,0
47,1,0,1,0,0,0,0,0
47,1,0,1,1,1681,0,1681,0
47,1,0,1,2,0,0,0,0
67,2,0,2,0,0,0,0,0
67,2,0,2,1,1681,0,1681,0
67,2,0,2,2,0,0,0,0
87,3,0,3,0,0,0,0,0
87,3,0,3,1,1681,0,1681,0
87,3,0,3,2,0,0,0,0
107,4,0,4,0,0,0,0,0
107,4,0,4,1,1681,0,1681,0
107,4,0,4,2,0,0,0,0
127,5,0,5,0,0,0,0,0
127,5,0,5,1,1681,0,1681,0
127,5,0,5,2,0,0,0,0
147,6,0,6,0,0,0,0,0
147,6,0,6,1,1681,0,1681,0
147,6,0,6,2,0,0,0,0
167,7,0,7,0,0,0,0,0
167,7,0,7,1,987,0,987,0
167,7,0,7,2,0,0,0,0
187,8,0,8,0,0,0,0,0
187,8,0,8,1,676,0,676,0
187,8,0,8,2,603,0,603,0
207,9,0,9,0,0,0,0,0
207,9,0,9,1,1665,0,1665,0
207,9,0,9,2,361,0,361,0
227,10,0,10,0,0,0,0,0
227,10,0,10,1,1681,0,1681,0
227,10,0,10,2,0,0,0,0
247,11,0,11,0,0,0,0,0
247,11,0,11,1,1681,0,1681,0
247,11,0,11,2,0,0,0,0
267,12,0,12,0,0,0,0,0
267,12,0,12,1,1681,0,1681,0
267,12,0,12,2,0,0,0,0
295,13,1,0,0,0,0,0,0
295,13,1,0,1,1681,0,1681,0
295,13,1,0,2,0,0,0,0
315,14,1,1,0,0,0,0,0
315,14,1,1,1,1681,0,1681,0
315,14,1,1,2,0,0,0,0
335,15,1,2,0,0,0,0,0
335,15,1,2,1,1681,0,1681,0
335,15,1,2,2,0,0,0,0
355,16,1,3,0,0,0,0,0
355,16,1,3,1,1681,0,1681,0
355,16,1,3,2,0,0,0,0
375,17,1,4,0,0,0,0,0
375,17,1,4,1,1681,0,1681,0
375,17,1,4,2,0,0,0,0
395,18,1,5,0,0,0,0,0
395,18,1,5,1,1681,0,1681,0
395,18,1,5,2,0,0,0,0
415,19,1,6,0,501,0,501,0
415,19,1,6,1,175,0,175,0
415,19,1,6,2,0,0,0,0
435,20,1,7,0,0,0,0,0
435,20,1,7,1,0,0,0,0
435,20,1,7,2,2615,0,2615,0
455,21,1,8,0,0,0,0,0
455,21,1,8,1,0,0,0,0
455,21,1,8,2,3277,0,3277,0
475,22,1,9,0,0,0,0,0
475,22,1,9,1,1003,0,1003,0
475,22,1,9,2,2489,0,2489,0
495,23,1,10,0,0,0,0,0
495,23,1,10,1,1681,0,1681,0
495,23,1,10,2,37,0,37,0
515,24,1,11,0,0,0,0,0
515,24,1,11,1,1681,0,1681,0
515,24,1,11,2,0,0,0,0
535,25,1,12,0,0,0,0,0
535,25,1,12,1,1681,0,1681,0
535,25,1,12,2,0,0,0,0
563,26,2,0,0,0,0,0,0
563,26,2,0,1,1681,0,1681,0
563,26,2,0,2,0,0,0,0
583,27,2,1,0,0,0,0,0
583,27,2,1,1,1681,0,1681,0
583,27,2,1,2,0,0,0,0
603,28,2,2,0,0,0,0,0
603,28,2,2,1,1681,0,1681,0
603,28,2,2,2,0,0,0,0
623,29,2,3,0,0,0,0,0
623,29,2,3,1,1681,0,1681,0
623,29,2,3,2,0,0,0,0
643,30,2,4,0,0,0,0,0
643,30,2,4,1,1681,0,1681,0
643,30,2,4,2,0,0,0,0
663,31,2,5,0,1136,0,1136,0
663,31,2,5,1,1332,0,1332,0
663,31,2,5,2,0,0,0,0
683,32,2,6,0,1030,0,1030,0
683,32,2,6,1,0,0,0,0
683,32,2,6,2,3919,0,3919,0
703,33,2,7,0,2832,0,2832,0
703,33,2,7,1,0,0,0,0
703,33,2,7,2,7108,0,7108,0
723,34,2,8,0,2678,0,2678,0
723,34,2,8,1,2257,0,2257,0
723,34,2,8,2,7047,0,7047,0
743,35,2,9,0,1416,0,1416,0
743,35,2,9,1,2003,0,2003,0
743,35,2,9,2,2974,0,2974,0
763,36,2,10,0,0,0,0,0
763,36,2,10,1,1681,0,1681,0
763,36,2,10,2,143,0,143,0
783,37,2,11,0,0,0,0,0
783,37,2,11,1,1681,0,1681,0
783,37,2,11,2,0,0,0,0
803,38,2,12,0,0,0,0,0
803,38,2,12,1,1681,0,1681,0
803,38,2,12,2,0,0,0,0
831,39,3,0,0,0,0,0,0
831,39,3,0,1,1681,0,1681,0
831,39,3,0,2,0,0,0,0
851,40,3,1,0,0,0,0,0
851,40,3,1,1,1681,0,1681,0
851,40,3,1,2,0,0,0,0
871,41,3,2,0,0,0,0,0
871,41,3,2,1,1681,0,1681,0
871,41,3,2,2,0,0,0,0
891,42,3,3,0,0,0,0,0
891,42,3,3,1,1681,0,1681,0
891,42,3,3,2,0,0,0,0
911,43,3,4,0,208,0,208,0
911,43,3,4,1,1299,0,1299,0
911,43,3,4,2,0,0,0,0
931,44,3,5,0,1745,0,1745,0
931,44,3,5,1,0,0,0,0
931,44,3,5,2,2355,0,2355,0
951,45,3,6,0,1868,0,1868,0
951,45,3,6,1,0,0,0,0
951,45,3,6,2,6834,0,6834,0
971,46,3,7,0,1824,0,1824,0
971,46,3,7,1,1728,0,1728,0
971,46,3,7,2,7578,0,7578,0
991,47,3,8,0,3388,0,3388,0
991,47,3,8,1,4660,0,4660,0
991,47,3,8,2,5976,0,5976,0
1011,48,3,9,0,1862,0,1862,0
1011,48,3,9,1,2720,0,2720,0
1011,48,3,9,2,1295,0,1295,0
1031,49,3,10,0,0,0,0,0
1031,49,3,10,1,1735,0,1735,0
1031,49,3,10,2,0,0,0,0
1051,50,3,11,0,0,0,0,0
1051,50,3,11,1,1681,0,1681,0
1051,50,3,11,2,0,0,0,0
1071,51,3,12,0,0,0,0,0
1071,51,3,12,1,1681,0,1681,0
1071,51,3,12,2,0,0,0,0
1099,52,4,0,0,0,0,0,0
1099,52,4,0,1,1681,0,1681,0
1099,52,4,0,2,0,0,0,0
1119,53,4,1,0,0,0,0,0
1119,53,4,1,1,1681,0,1681,0
1119,53,4,1,2,0,0,0,0
1139,54,4,2,0,0,0,0,0
1139,54,4,2,1,1681,0,1681,0
1139,54,4,2,2,0,0,0,0
1159,55,4,3,0,0,0,0,0
1159,55,4,3,1,1681,0,1681,0
1159,55,4,3,2,0,0,0,0
1179,56,4,4,0,1598,0,1598,0
1179,56,4,4,1,0,0,0,0
1179,56,4,4,2,596,0,596,0
1199,57,4,5,0,841,0,841,0
1199,57,4,5,1,0,0,0,0
1199,57,4,5,2,6646,0,6646,0
1219,58,4,6,0,2370,0,2370,0
1219,58,4,6,1,3944,0,3944,0
